categories,names,rating,total_rating,cost_price,selling_price,links
Cream,"Garnier Bright Complete VITAMIN C YOGHURT Night Cream, 40g  ",4.5,4,195,195,https://www.amazon.in/Garnier-Bright-Complete-VITAMIN-YOGHURT/dp/B0969Y98GK/ref=sr_1_36?dchild=1&keywords=Cream&qid=1628071240&sr=8-36
Cream,Bipha Ayurveda Ojaswini Marayoor Sandalwood Cream Helps Fight Tan and Wrinkles to Reducing Pigmentation and Spots  ,4.0,24,1890,1890,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03832483ESLO5GEDNQ3V&url=%2FBipha-Ayurveda-Rehydrating-Revitalising-Sandalwood%2Fdp%2FB00YY22JVI%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3DCream%26qid%3D1628071240%26sr%3D8-60-spons%26psc%3D1&qualifier=1628071240&id=4076801857258951&widgetName=sp_btf
